simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-192324,train,0,2024-03-08 14:39:19.850066,2024-03-08 14:39:26.433276
travis_resstock-amy2018-2021-release-1-192324,train,1,2024-03-08 14:39:27.365142,2024-03-08 14:41:37.306820
travis_resstock-amy2018-2021-release-1-192324,train,2,2024-03-08 14:41:38.502319,2024-03-08 14:43:47.991638
travis_resstock-amy2018-2021-release-1-192324,train,3,2024-03-08 14:43:49.392852,2024-03-08 14:45:58.688188
travis_resstock-amy2018-2021-release-1-192324,train,4,2024-03-08 14:46:00.315841,2024-03-08 14:48:09.535740
travis_resstock-amy2018-2021-release-1-192324,train,5,2024-03-08 14:48:11.358096,2024-03-08 14:50:20.828081
travis_resstock-amy2018-2021-release-1-192324,train,6,2024-03-08 14:50:22.888821,2024-03-08 14:52:32.118443
travis_resstock-amy2018-2021-release-1-192324,train,7,2024-03-08 14:52:34.385812,2024-03-08 14:54:43.695236
travis_resstock-amy2018-2021-release-1-192324,train,8,2024-03-08 14:54:46.201289,2024-03-08 14:56:55.351287
travis_resstock-amy2018-2021-release-1-192324,train,9,2024-03-08 14:56:58.049270,2024-03-08 14:59:07.239775
travis_resstock-amy2018-2021-release-1-192324,train,10,2024-03-08 14:59:10.170760,2024-03-08 15:01:19.196127
